onset	duration	experiment_name	sub	ses	clock_information	datafile_basename	display_refreshrate	experiment_version	group	randomseed	runtime_capabilities	runtime_version	runtimeversionexpected	session_date	session_start_date_time_utc	session_time	studio_version	block	fixation2trs_durationerror	fixation2trs_offsetdelay	fixation2trs_offsettime	fixation2trs_onsetdelay	fixation2trs_onsettime	fixation2trs_onsettoonsettime	goodwork_durationerror	goodwork_finishtime	goodwork_onsetdelay	goodwork_onsettime	goodwork_onsettoonsettime	procedure_block	runlist	runlist_cycle	runlist_sample	running_block	trial	condition	interblockinterval_duration	interblockinterval_durationerror	interblockinterval_finishtime	interblockinterval_offsetdelay	interblockinterval_offsettime	interblockinterval_onsetdelay	interblockinterval_onsettime	interblockinterval_onsettoonsettime	procedure_trial	run1blocklist	run1blocklist_cycle	run1blocklist_sample	run3blocklist	run3blocklist_cycle	run3blocklist_sample	run4blocklist	run4blocklist_cycle	run4blocklist_sample	running_trial	subtrial	a1highlargeedblocklist	a1highlargeedblocklist_cycle	a1highlargeedblocklist_sample	a3highlargeedblocklist	a3highlargeedblocklist_cycle	a3highlargeedblocklist_sample	a4highlargeedblocklist	a4highlargeedblocklist_cycle	a4highlargeedblocklist_sample	b1highsmalledblocklist	b1highsmalledblocklist_cycle	b1highsmalledblocklist_sample	b3highsmalledblocklist	b3highsmalledblocklist_cycle	b3highsmalledblocklist_sample	b4highsmalledblocklist	b4highsmalledblocklist_cycle	b4highsmalledblocklist_sample	c1lowlargeedblocklist	c1lowlargeedblocklist_cycle	c1lowlargeedblocklist_sample	c3lowlargeedblocklist	c3lowlargeedblocklist_cycle	c3lowlargeedblocklist_sample	c4lowlargeedblocklist	c4lowlargeedblocklist_cycle	c4lowlargeedblocklist_sample	d1lowsmalledblocklist	d1lowsmalledblocklist_cycle	d1lowsmalledblocklist_sample	d3lowsmalledblocklist	d3lowsmalledblocklist_cycle	d3lowsmalledblocklist_sample	d4lowsmalledblocklist	d4lowsmalledblocklist_cycle	d4lowsmalledblocklist_sample	e1officelargeblocklist	e1officelargeblocklist_cycle	e1officelargeblocklist_sample	e3officelargeblocklist	e3officelargeblocklist_cycle	e3officelargeblocklist_sample	e4officelargeblocklist	e4officelargeblocklist_cycle	e4officelargeblocklist_sample	f1officesmallblocklist	f1officesmallblocklist_cycle	f1officesmallblocklist_sample	f3officesmallblocklist	f3officesmallblocklist_cycle	f3officesmallblocklist_sample	f4officesmallblocklist	f4officesmallblocklist_cycle	f4officesmallblocklist_sample	filename	isi_duration	isi_durationerror	isi_finishtime	isi_onsetdelay	isi_onsettime	isi_onsettoonsettime	procedure_subtrial	running_subtrial	stimslide_duration	stimslide_durationerror	stimslide_finishtime	stimslide_offsetdelay	stimslide_offsettime	stimslide_onsetdelay	stimslide_onsettime	stimslide_onsettoonsettime	stimslide_resp	stimslide_rt	stimslide_rttime	onset_unrounded
4	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	1.0	HighLargeED	8000.0	1.0	84482.0	1.0	84482.0	0.0	84481.0	0.0	A1HighLargeEDBlockProc	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	1.0	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A1_01.jpg	500.0	0.0	68982.0	0.0	68982.0	0.0	TrialProc1	A1HighLargeEDBlockList	2500.0	0.0	66482.0	0.0	66482.0	0.0	66482.0	2500.0	d	1789.0	68271.0	4.0
7	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	1.0	HighLargeED	8000.0	1.0	84482.0	1.0	84482.0	0.0	84481.0	0.0	A1HighLargeEDBlockProc	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	2.0	2.0	1.0	2.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A1_02.jpg	500.0	0.0	71982.0	0.0	71982.0	0.0	TrialProc1	A1HighLargeEDBlockList	2500.0	0.0	69482.0	0.0	69482.0	0.0	69482.0	2500.0	d	1173.0	70655.0	7.0
10	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	1.0	HighLargeED	8000.0	1.0	84482.0	1.0	84482.0	0.0	84481.0	0.0	A1HighLargeEDBlockProc	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	3.0	3.0	1.0	3.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A1_03.jpg	500.0	0.0	74982.0	0.0	74982.0	0.0	TrialProc1	A1HighLargeEDBlockList	2500.0	0.0	72482.0	0.0	72482.0	0.0	72482.0	2500.0	d	789.0	73271.0	10.0
13	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	1.0	HighLargeED	8000.0	1.0	84482.0	1.0	84482.0	0.0	84481.0	0.0	A1HighLargeEDBlockProc	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	4.0	4.0	1.0	4.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A1_04.jpg	500.0	0.0	77982.0	0.0	77982.0	0.0	TrialProc1	A1HighLargeEDBlockList	2500.0	0.0	75482.0	0.0	75482.0	0.0	75482.0	2500.0	d	749.0	76231.0	13.0
16	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	1.0	HighLargeED	8000.0	1.0	84482.0	1.0	84482.0	0.0	84481.0	0.0	A1HighLargeEDBlockProc	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	5.0	5.0	1.0	5.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A1_05.jpg	500.0	1.0	80982.0	-1.0	80981.0	0.0	TrialProc1	A1HighLargeEDBlockList	2500.0	0.0	78482.0	0.0	78482.0	0.0	78482.0	2499.0	d	1397.0	79879.0	16.0
19	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	1.0	HighLargeED	8000.0	1.0	84482.0	1.0	84482.0	0.0	84481.0	0.0	A1HighLargeEDBlockProc	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	6.0	6.0	1.0	6.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A1_06.jpg	500.0	1.0	83982.0	-1.0	83981.0	0.0	TrialProc1	A1HighLargeEDBlockList	2500.0	0.0	81482.0	0.0	81482.0	1.0	81482.0	2499.0	d	693.0	82175.0	19.0
30	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	2.0	OfficeSmall	8000.0	0.0	110481.0	0.0	110481.0	0.0	110481.0	0.0	F1OfficeSmallBlockProc	2.0	1.0	2.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	F1_01.jpg	500.0	0.0	94981.0	0.0	94981.0	0.0	TrialProc1	F1OfficeSmallBlockList	2500.0	0.0	92481.0	0.0	92481.0	0.0	92481.0	2500.0	c	1558.0	94039.0	29.999
33	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	2.0	OfficeSmall	8000.0	0.0	110481.0	0.0	110481.0	0.0	110481.0	0.0	F1OfficeSmallBlockProc	2.0	1.0	2.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	2.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	1.0	2.0	n/a	n/a	n/a	n/a	n/a	n/a	F1_02.jpg	500.0	0.0	97981.0	0.0	97981.0	0.0	TrialProc1	F1OfficeSmallBlockList	2500.0	0.0	95481.0	0.0	95481.0	0.0	95481.0	2500.0	c	926.0	96407.0	32.998999999999995
36	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	2.0	OfficeSmall	8000.0	0.0	110481.0	0.0	110481.0	0.0	110481.0	0.0	F1OfficeSmallBlockProc	2.0	1.0	2.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	3.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.0	1.0	3.0	n/a	n/a	n/a	n/a	n/a	n/a	F1_03.jpg	500.0	0.0	100981.0	0.0	100981.0	0.0	TrialProc1	F1OfficeSmallBlockList	2500.0	0.0	98481.0	0.0	98481.0	0.0	98481.0	2500.0	c	470.0	98951.0	35.998999999999995
39	2.5	000_R01_VA_allProc	112	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3020390</Frequency><Timestamp dt:dt=""r8"">4935492972584</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-11T14:24:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	000_R01_VA_allProc-112-1	60.001	1.0.0.229	1	576146689	Professional	2.0.10.356	2.0.10.356	08-11-2021	8/11/2021 2:24:16 PM	10:24:16	2.0.10.252	1	0.0	0.0	62482.0	27.0	62482.0	4000.0	-999999.0	226501.0	0.0	222479.0	0.0	Run1Proc	1	1	1	RunList	2.0	OfficeSmall	8000.0	0.0	110481.0	0.0	110481.0	0.0	110481.0	0.0	F1OfficeSmallBlockProc	2.0	1.0	2.0	n/a	n/a	n/a	n/a	n/a	n/a	Run1BlockList	4.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.0	1.0	4.0	n/a	n/a	n/a	n/a	n/a	n/a	F1_04.jpg	500.0	0.0	103981.0	0.0	103981.0	0.0	TrialProc1	F1OfficeSmallBlockList	2500.0	0.0	101481.0	0.0	101481.0	0.0	101481.0	2500.0	c	894.0	102375.0	38.999
